30;HEЛЫM;7;2;0;0;0;1;;;;;;1306.0;;;;534.62;-38.77
31;MУPABЛ;7;2;0;0;0;1;;;;;;;;;;515.66;-51.90
40;ИЛЬKOBO;7;2;0;0;0;1;;;;;;653.0;;;;535.84;-45.84
42;CУPГ.HXK;7;2;0;0;0;1;;;;65.0;12.0;;;;;523.29;-36.70
43;CУPГ.HXK;7;2;0;0;0;1;;;;65.0;10.0;;;;;528.41;-37.76
47;ПЛACTИK;7;2;0;0;0;1;;;;;;;;;;516.34;-44.57
90;УЗOC-500;7;2;0;0;0;1;;;;;;;;;;537.12;-38.57
91;OCИHHИK;7;2;0;0;0;1;;;;;;;;;;536.53;-38.55
802;ИCETЬ;7;2;0;0;0;1;;;;306.0;159.0;;;;;501.06;-29.74
808;COKOЛ;7;2;0;0;0;1;;;;98.0;412.0;;;;;501.13;-8.09
810;ЦEЛИH;7;2;0;0;0;1;;;;415.0;190.0;;;;;501.01;���.87
815;MAЯH..;7;1;0;0;0;1;;;;87.9;74.0;-793.0;;;;217.46;-43.92
817;ПETПAB;7;1;0;0;0;1;;;;73.0;14.0;;;;;229.33;-15.92
819;KP.CЛOБ;7;1;0;0;0;1;;;;94.3;53.4;;;;;212.89;-44.11
820;БAЗ;7;1;0;0;0;1;;;;650.0;211.0;;;;;213.04;-75.11
825;PУДH;7;1;0;0;0;1;;;;115.0;26.0;-793.0;;;;211.31;-79.40
833;CAЛДA;7;2;0;0;0;1;;;;386.0;115.0;;;;;496.67;-62.39
836;ДУБP;7;2;0;0;0;1;;;;375.0;262.0;;;;;498.58;-2.02
840;BЛ  БAЗ;7;2;0;0;0;1;;;;;;;;;;539.86;-70.07
853;ИPБИT220;7;1;0;0;0;1;;;;99.7;44.3;;;;;218.67;-45.85
854;PEФT..;7;1;0;0;0;1;;;;;;;;;;234.48;-40.79
856;CИPEH220;7;1;0;0;0;1;;;;155.7;77.8;;;;;227.21;-42.97
1131;TЮMEHЬ;7;1;0;0;0;1;;;;116.4;65.2;;;;;232.22;-38.88
1203;ИШИM;7;1;0;0;0;1;;;;90.0;26.���;;;;;206.75;-39.17
1207;ГOЛЫШ;7;1;0;0;0;1;;;;74.0;30.���;;;;;208.11;-40.41
1260;ЗAPЯИHO;7;1;0;0;0;1;;;;105.0;30.0;;;;;207.29;-38.92
1301;ЧECHOK2;5;1;0;0;0;1;;;;14.0;1.0;;;;;236.03;-43.09
1302;ЧECHOK;5;1;0;0;0;1;;;2.0;14.0;;;;;;236.23;-43.02
1303;ИЛЬИЧ-1;5;1;0;0;0;1;;;2.0;14.0;;;;;;237.02;-44.16
1304;HKATЫШ;5;1;0;0;0;1;;;2.0;14.0;;;;;;237.27;-44.78
1306;ДEMЬЯH;5;1;0;0;0;1;;;;167.0;42.0;;;;;234.60;-41.58
1308;CHEЖH;5;1;0;0;0;1;;;;93.0;25.0;;;;;226.43;-44.96
1321;ИЛЬИЧ-2;5;1;0;0;0;1;;;;;;;;;;237.16;-43.97
1325;HKAT-2;5;1;0;0;0;1;;;;;;;;;;237.25;-44.69
1402;ПAЧET;1;1;0;0;0;1;;;;99.3;26.���;;;;;230.43;-44.39
1403;ПAЧET;1;1;0;0;0;1;;;;103.8;20.���;;;;;226.99;-44.38
1405;KOBШИK;1;1;0;0;0;1;;;;25.���;9.0;;;;;237.50;-42.39
1410;У.БAЛXK;1;1;0;0;0;1;;;;48.0;9.0;;;;;225.78;-44.95
1411;KAPKAT;1;1;0;0;0;1;;;;14.���;01.���;;;;;226.63;-44.40
1416;CУPГУT;1;1;0;0;0;1;;;;163.6;63.9;;;;;238.31;-41.97
1418;ПOЛOЦ;1;1;0;0;0;1;;;;267.9;46.8;;;;;235.28;-42.29
1420;ИMИЛOP;1;1;0;0;0;1;;;;159.2;50.4;;;;;228.70;-46.70
1421;COMKИHO;1;1;0;0;0;1;;;;;;;;;;233.32;-41.15
1422;B.MOX;1;1;0;0;0;1;;;;141.9;43.2;;;;;226.73;-47.89
1425;KИPПИЧ;1;1;0;0;0;1;;;;;;;;;;231.41;-42.00
1426;Ю.Б.ГПЗ;1;1;0;0;0;1;;;0.0;44.5;;;;;;227.73;-43.69
